Reg Amostra;Reg Planta;Fam�lia;G�nero;Esp�cie
105401;102276;Melastomataceae;;
108485;103595;Rubiaceae;Bathysa;
108229;103484;Loganiaceae;;
119838;104687;Proteaceae;Panopsis;sessilifolia
145235;105288;Fabaceae;;
145237;105289;Malvaceae;Luehea;grandiflora
145238;105289;Malvaceae;Luehea;grandiflora
145239;105290;Myrtaceae;;
145105;105256;Clusiaceae;Clusia;
145111;105260;Clusiaceae;Clusia;
145116;105261;Calophyllaceae;Kielmeyera;aureovinosa
145125;105264;Rubiaceae;Psychotria;carthagenensis
145142;105271;Lauraceae;Ocotea;indecora
145241;105291;Fabaceae;Apuleia;leiocarpa
145242;105291;Fabaceae;Apuleia;leiocarpa
145243;105292;Smilacaceae;Smilax;quinquenervia
145244;105292;Smilacaceae;Smilax;quinquenervia
145247;105293;Calophyllaceae;Kielmeyera;aureovinosa
145248;105294;Calophyllaceae;Kielmeyera;aureovinosa
145249;105295;Calophyllaceae;Kielmeyera;aureovinosa
145250;105296;Calophyllaceae;Kielmeyera;aureovinosa
145252;105298;Myrtaceae;;
145253;105299;Calophyllaceae;Kielmeyera;aureovinosa
144369;105046;Araceae;Montrichardia ;linifera
144370;105046;Araceae;Montrichardia ;linifera
144371;105046;Araceae;Montrichardia ;linifera
144374;105047;Asteraceae;Wedelia;paludosa
144376;105048;Onagraceae;Ludwigia;hyssopifolia
144377;105048;Onagraceae;Ludwigia;hyssopifolia
144381;105049;Poaceae;Panicum;zizanioides
144196;105010;Leguminosae-mimosaceae;Enterolobium;maximum
144498;105060;Turneraceae;Piriqueta;cistoides
144383;105050;Scrophulariaceae;Scoparia;dulcis
144385;105051;Asteraceae;Vernonia cf.;cinerea 
144387;105052;Poaceae;Panicum;maximum
144390;105053;Poaceae;Paspalum;maritimum
144393;105054;Convolvulaceae;Ipomoea;setifera
144400;105055;Myristicaceae;Virola;surinamensis
144395;105055;Myristicaceae;Virola;surinamensis
144396;105055;Myristicaceae;Virola;surinamensis
144399;105055;Myristicaceae;Virola;surinamensis
144399;105055;Myristicaceae;Virola;surinamensis
144406;105056;Leguminosae-Papilionaceae;Vigna;racemosa
144401;105056;Leguminosae-Papilionaceae;Vigna;racemosa
144402;105056;Leguminosae-Papilionaceae;Vigna;racemosa
144403;105056;Leguminosae-Papilionaceae;Vigna;racemosa
144405;105056;Leguminosae-Papilionaceae;Vigna;racemosa
144412;105058;Cecropiaceae;Cecropia ;concolor 
144407;105058;Cecropiaceae;Cecropia ;concolor 
144408;105058;Cecropiaceae;Cecropia ;concolor 
144409;105058;Cecropiaceae;Cecropia ;concolor 
144411;105058;Cecropiaceae;Cecropia ;concolor 
144418;105059;Leguminosae-Papilionaceae ;Pterocarpus;amazonum
144413;105059;Leguminosae-Papilionaceae ;Pterocarpus;amazonum
144414;105059;Leguminosae-Papilionaceae ;Pterocarpus;amazonum
144415;105059;Leguminosae-Papilionaceae ;Pterocarpus;amazonum
144417;105059;Leguminosae-Papilionaceae ;Pterocarpus;amazonum
144425;105061;Anacardiaceae;Spondias;mombin
144419;105061;Anacardiaceae;Spondias;mombin
144420;105061;Anacardiaceae;Spondias;mombin
144421;105061;Anacardiaceae;Spondias;mombin
144424;105061;Anacardiaceae;Spondias;mombin
144426;105062;Bignoniaceae;Paragonia;pyramidata
144427;105062;Bignoniaceae;Paragonia;pyramidata
144436;105063;Leguminosae-Papilionaceae;Zygia;latifolia
144430;105063;Leguminosae-Papilionaceae;Zygia;latifolia
144431;105063;Leguminosae-Papilionaceae;Zygia;latifolia
144432;105063;Leguminosae-Papilionaceae;Zygia;latifolia
144435;105063;Leguminosae-Papilionaceae;Zygia;latifolia
144438;105064;Poaceae;Paspalum;repens
144443;105065;Bombacaceae;Pachira;aquatica
144532;105087;Malpighiaceae;Byrsonima;spicata
144534;105088;Cecropiaceae;Cecropia;palmata
144537;105088;Cecropiaceae;Cecropia;palmata
144543;105089;Leguminosae-Mimosaceae;Abarema;jupunba
144539;105089;Leguminosae-Mimosaceae;Abarema;jupunba
144544;105090;Leguminosae-mimosaceae;Stryphnodendron;pulcherrimum
144549;105091;Moraceae;Ficus;maxima
144550;105091;Moraceae;Ficus;maxima
144554;105092;Anacardiaceae;Spondias ;mombin
144560;105093;Leguminosae-Papilionaceae;Erythrina;fusca
144564;105094;Combretaceae;Terminalia;catappa
144569;105095;Leguminosae-Mimosaceae;Inga;alba
144574;105096;Caryocaraceae;Caryocar;microcarpum
144577;105096;Caryocaraceae;Caryocar;microcarpum
144590;105099;Leguminosae-Papilionaceae;Swartzia;racemosa
144592;105099;Leguminosae-Papilionaceae;Swartzia;racemosa
144654;105115;Poaceae;Paspalum;virgatum
144655;105116;Poaceae;Panicum;maximum
144656;105117;Poaceae;Pennisetum;purpurum
144657;105118;Mimosaceae;Inga;edulis
144659;105118;Mimosaceae;Inga;edulis
144662;105119;Araceae;Philodendron;Pedatum
144667;105120;Rubiaceae;Genipa;americana
144663;105120;Rubiaceae;Genipa;americana
144666;105120;Rubiaceae;Genipa;americana
144672;105121;Lauraceae;Nectandra;cuspidata
144668;105121;Lauraceae;Nectandra;cuspidata
144677;105122;Cecropiaceae;Cecropia;obtusa
144673;105122;Cecropiaceae;Cecropia;obtusa
144674;105122;Cecropiaceae;Cecropia;obtusa
144675;105122;Cecropiaceae;Cecropia;obtusa
144676;105122;Cecropiaceae;Cecropia;obtusa
144682;105123;Annonaceae;Guatteria;poeppigiana
144678;105123;Annonaceae;Guatteria;poeppigiana
144680;105123;Annonaceae;Guatteria;poeppigiana
144683;105124;Myristicaceae;Virola;sebifera
144686;105124;Myristicaceae;Virola;sebifera
144688;105125;Poaceae;Echinolaena;colanum
144689;105127;Apocynaceae;Allamanda;cathartica
144691;105128;Convolvulaceae;Ipomoea;imperati
144696;105129;Leguminosae-Mimosaceae;Hydrochorea;corymbosa
144694;105129;Leguminosae-Mimosaceae;Hydrochorea;corymbosa
144695;105129;Leguminosae-Mimosaceae;Hydrochorea;corymbosa
144699;105130;Chrysobalanaceae;Licania;macrophylla
144604;105101;Leguminosae-Papilionaceae;Vigna;racemosa
144600;105101;Leguminosae-Papilionaceae;Vigna;racemosa
144601;105101;Leguminosae-Papilionaceae;Vigna;racemosa
144603;105101;Leguminosae-Papilionaceae;Vigna;racemosa
144602;105101;Leguminosae-Papilionaceae;Vigna;racemosa
144608;105103;Burseraceae;Protium;heptaphyllum
144605;105103;Burseraceae;Protium;heptaphyllum
144606;105103;Burseraceae;Protium;heptaphyllum
144607;105103;Burseraceae;Protium;heptaphyllum
144613;105104;Anacardiaceae;Tapirira;guianensis
144609;105104;Anacardiaceae;Tapirira;guianensis
144610;105104;Anacardiaceae;Tapirira;guianensis
144611;105104;Anacardiaceae;Tapirira;guianensis
144612;105104;Anacardiaceae;Tapirira;guianensis
144618;105105;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144614;105105;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144616;105105;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144617;105105;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144623;105106;Cecropiaceae;Cecropia;palmata
144619;105106;Cecropiaceae;Cecropia;palmata
144621;105106;Cecropiaceae;Cecropia;palmata
144627;105107;Leguminosae-Caesalpiniaceae;Senna;multijuga
144624;105107;Leguminosae-Caesalpiniaceae;Senna;multijuga
144625;105107;Leguminosae-Caesalpiniaceae;Senna;multijuga
144626;105107;Leguminosae-Caesalpiniaceae;Senna;multijuga
144632;105108;Anacardiaceae;Spondias;mombin
144628;105108;Anacardiaceae;Spondias;mombin
144629;105108;Anacardiaceae;Spondias;mombin
144630;105108;Anacardiaceae;Spondias;mombin
144631;105108;Anacardiaceae;Spondias;mombin
144637;105109;Sapindaceae;Pseudima;frutescens
144633;105109;Sapindaceae;Pseudima;frutescens
144634;105109;Sapindaceae;Pseudima;frutescens
144635;105109;Sapindaceae;Pseudima;frutescens
144636;105109;Sapindaceae;Pseudima;frutescens
144641;105110;Leguminosae-Caesalpiniaceae;Apuleia;leiocarpa
144638;105110;Leguminosae-Caesalpiniaceae;Apuleia;leiocarpa
144639;105110;Leguminosae-Caesalpiniaceae;Apuleia;leiocarpa
144642;105111;Chrysobalanaceae;Chysobalanus;icaco
144643;105111;Chrysobalanaceae;Chysobalanus;icaco
144644;105111;Chrysobalanaceae;Chysobalanus;icaco
144648;105112;Meliaceae;Carapa;guianensis
144645;105112;Meliaceae;Carapa;guianensis
144646;105112;Meliaceae;Carapa;guianensis
144647;105112;Meliaceae;Carapa;guianensis
144653;105113;Leguminosae-Papilionaceae;Taralea;oppositifolia
144649;105113;Leguminosae-Papilionaceae;Taralea;oppositifolia
144650;105113;Leguminosae-Papilionaceae;Taralea;oppositifolia
144651;105113;Leguminosae-Papilionaceae;Taralea;oppositifolia
144652;105113;Leguminosae-Papilionaceae;Taralea;oppositifolia
144622;105106;Cecropiaceae;Cecropia;palmata
144439;105065;Bombacaceae;Pachira;aquatica
144440;105065;Bombacaceae;Pachira;aquatica
144441;105065;Bombacaceae;Pachira;aquatica
144442;105065;Bombacaceae;Pachira;aquatica
144448;105066;Rhizophoraceae;Rhizophora;mangle
144444;105066;Rhizophoraceae;Rhizophora;mangle
144445;105066;Rhizophoraceae;Rhizophora;mangle
144446;105066;Rhizophoraceae;Rhizophora;mangle
144447;105066;Rhizophoraceae;Rhizophora;mangle
144450;105067;Leguminosae-Caesalpiniaceae;Machaerium;lunatum
144449;105067;Leguminosae-Caesalpiniaceae;Machaerium;lunatum
144454;105068;Poaceae;Cyperus;giganteus
144460;105069;Leguminosae-Papilionaceae;Etaballia;dubia
144455;105069;Leguminosae-Papilionaceae;Etaballia;dubia
144456;105069;Leguminosae-Papilionaceae;Etaballia;dubia
144457;105069;Leguminosae-Papilionaceae;Etaballia;dubia
144461;105070;Piperaceae;Pothomorphe;peltata
144462;105070;Piperaceae;Pothomorphe;peltata
144464;105071;Leguminosae-Papilionaceae;Senna;alata
144465;105071;Leguminosae-Papilionaceae;Senna;alata
144468;105071;Leguminosae-Papilionaceae;Senna;alata
144470;105072;Piperaceae;Piper;aduncum
144471;105072;Piperaceae;Piper;aduncum
144477;105073;Leguminosae-Papilionaceae;Vigna;racemosa
144478;105073;Leguminosae-Papilionaceae;Vigna;racemosa
144473;105073;Leguminosae-Papilionaceae;Vigna;racemosa
144475;105073;Leguminosae-Papilionaceae;Vigna;racemosa
144483;105074;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144479;105074;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144481;105074;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144482;105074;Leguminosae-Mimosaceae;Pentaclethra;macroloba
144486;105075;Leguminosae-Papilionaceae;Taralea;oppositifolia
144484;105075;Leguminosae-Papilionaceae;Taralea;oppositifolia
144489;105076;Verbenaceae;Avicennia;nitida
144492;105076;Verbenaceae;Avicennia;nitida
144499;105077;Bombacaceae;Pachira;aquatica
144503;105077;Bombacaceae;Pachira;aquatica
144508;105078;Leguminosae-Mimosaceae;Zygia;cauliflora
144504;105078;Leguminosae-Mimosaceae;Zygia;cauliflora
144507;105078;Leguminosae-Mimosaceae;Zygia;cauliflora
